id	external_id	external_efo_id
1238901	OMIM:251600,MESH:C565377	Orphanet_2542
1241101	MESH:C537580,OMIM:266900	Orphanet_3156
1241201	OMIM:606996,MESH:C537581	Orphanet_3156
1243701	MESH:C575214,OMIM:613371	Orphanet_211017
1244501	MESH:C537835,OMIM:136550	Orphanet_75327
1244601	OMIM:608850	
1245301	OMIM:607458,MESH:C537197	Orphanet_98771
1249801	OMIM:609566,MESH:C563697	Orphanet_60015
1253401	OMIM:302950,MESH:C535941	Orphanet_79345
1256801	OMIM:613353	EFO_0004143
1257801	OMIM:236730,MESH:C536480	Orphanet_2704
1266001	OMIM:108800,MESH:C566239	Orphanet_1478
1266101	OMIM:613087,MESH:C567764	Orphanet_271853,Orphanet_1478
1267001	OMIM:259600,MESH:C536051	Orphanet_3460,Orphanet_85196,Orphanet_371428
1274401	MESH:C565289,OMIM:605809	Orphanet_590
1280301	OMIM:274300,MESH:C567936	Orphanet_3221
1281901	OMIM:610155,MESH:C565715	EFO_0001359
1282601	OMIM:613398	Orphanet_280558
1284801	MESH:C565227,OMIM:609800	Orphanet_36387
1284901	OMIM:613828	Orphanet_36387
1285001	OMIM:612279,MESH:C567371	Orphanet_36387
1287701	OMIM:133780,MESH:C536382	Orphanet_891
1297001	OMIM:613575	Orphanet_791
1306101	OMIM:610832,MESH:C563657	Orphanet_84
1307201	MESH:C537310,OMIM:607317	Orphanet_95434
1310301	OMIM:301790,MESH:C537315	Orphanet_85297
1310401	OMIM:301840,MESH:C537316	Orphanet_85292
1317301	OMIM:608097,MESH:C564292	Orphanet_98892,Orphanet_2149
1317701	OMIM:602025	Orphanet_217031
1321501	OMIM:606708,MESH:C564674	Orphanet_2440
1321801	MESH:C567893,OMIM:183600	Orphanet_2440
1323201	MESH:C537250,OMIM:603553	Orphanet_540
1324101	MESH:C536970,OMIM:314300	Orphanet_3341
1325701	OMIM:246560	Orphanet_1307,Orphanet_2440
1326701	MESH:C536425,OMIM:119100	Orphanet_3329
1327501	MESH:C566646,OMIM:601650	Orphanet_29072
1330801	MESH:C565260,OMIM:606082	
1330901	OMIM:300273,MESH:C564546	
1332001	OMIM:202370	Orphanet_772,Orphanet_44
1341501	OMIM:227645	Orphanet_84
1341701	OMIM:300514,MESH:C564497	Orphanet_84
1342401	MESH:C563802,OMIM:609053	Orphanet_84
1343501	MESH:C564326,OMIM:607829	
1343801	OMIM:610840,MESH:C563655	
1345901	OMIM:606190,MESH:C536266	Orphanet_2495
1347901	MESH:C567068,OMIM:300645	Orphanet_319605,Orphanet_319623
1348901	MESH:C563573	
1350701	OMIM:613340	
1351301	OMIM:613339	
1352601	OMIM:311900,MESH:C536942	Orphanet_2886
1352901	OMIM:161900,MESH:C562889	Orphanet_88659
1354901	OMIM:251200	Orphanet_52183,Orphanet_2512
1359501	OMIM:167400,MESH:C563475	Orphanet_46348
1359901	OMIM:604348,MESH:C565789	Orphanet_164736
1361401	OMIM:307000,MESH:C536078	Orphanet_2182,Orphanet_275543
1369101	OMIM:601318,MESH:C563352	
1369301	OMIM:601208,MESH:C563371	
1369501	MESH:C566395,OMIM:603266	
1369701	OMIM:601666,MESH:C566645	
1369801	OMIM:605598,MESH:C565315	
1369901	MESH:C535745,OMIM:607143	Orphanet_79324
1370401	OMIM:606787,MESH:C564658	
1370701	OMIM:613006,MESH:C567818	
1372001	OMIM:612622,MESH:C567233	
1372301	OMIM:613152	Orphanet_370980
1374201	OMIM:613153	Orphanet_588,Orphanet_899
1378001	MESH:C567362	
1380501	MESH:C536386,OMIM:601471	Orphanet_306527
